su 3.68942 (-0.180109,0.000000) (0.254707,0.000000) (-0.180109,0.000000) (0.266390,0.000000) (-0.050708,0.000000) (-0.110339,0.000000) (0.021007,0.000000) (-0.110339,0.000000) (0.021007,0.000000) (0.266390,0.000000) (-0.050708,0.000000) (-0.222455,0.000000) (0.314593,0.000000) (-0.222455,0.000000) (0.222450,0.000000) (-0.314599,0.000000) (0.222450,0.000000) (0.050722,0.000000) (-0.266400,0.000000) (-0.021007,0.000000) (0.110350,0.000000) (-0.021007,0.000000) (0.110350,0.000000) (0.050722,0.000000) (-0.266400,0.000000) (0.180097,0.000000) (-0.254701,0.000000) (0.180097,0.000000)
sd 3.68942 (-0.180097,0.000000) (0.254701,0.000000) (-0.180097,0.000000) (0.266400,0.000000) (-0.050722,0.000000) (-0.110350,0.000000) (0.021007,0.000000) (-0.110350,0.000000) (0.021007,0.000000) (0.266400,0.000000) (-0.050722,0.000000) (-0.222450,0.000000) (0.314599,0.000000) (-0.222450,0.000000) (0.222455,0.000000) (-0.314593,0.000000) (0.222455,0.000000) (0.050708,0.000000) (-0.266390,0.000000) (-0.021007,0.000000) (0.110339,0.000000) (-0.021007,0.000000) (0.110339,0.000000) (0.050708,0.000000) (-0.266390,0.000000) (0.180109,0.000000) (-0.254707,0.000000) (0.180109,0.000000)
su 4.04999 (-0.000003,0.000000) (0.000000,0.000000) (0.000003,0.000000) (0.000003,0.000000) (0.000000,0.000000) (0.000000,0.000000) (0.000003,0.000000) (-0.000000,0.000000) (-0.000003,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (-0.000003,0.000000) (0.000000,0.000000) (0.000003,0.000000) (0.000000,0.000000) (-0.000000,0.000000) (0.000000,0.000000) (-0.353549,0.000000) (0.353557,0.000000) (0.353552,0.000000) (-0.353555,0.000000) (-0.353552,0.000000) (0.353555,0.000000) (0.353549,0.000000) (-0.353557,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000)
sd 4.04999 (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (0.353557,0.000000) (-0.353549,0.000000) (-0.353555,0.000000) (0.353552,0.000000) (0.353555,0.000000) (-0.353552,0.000000) (-0.353557,0.000000) (0.353549,0.000000) (-0.000000,0.000000) (-0.000000,0.000000) (-0.000000,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (0.000000,0.000000) (0.000003,0.000000) (0.000003,0.000000) (0.000000,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (-0.000000,0.000000) (-0.000003,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000)
su 4.05001 (0.000003,0.000000) (0.000000,0.000000) (-0.000003,0.000000) (0.353549,0.000000) (-0.353558,0.000000) (-0.353552,0.000000) (0.353554,0.000000) (0.353552,0.000000) (-0.353554,0.000000) (-0.353549,0.000000) (0.353558,0.000000) (0.000000,0.000000) (0.000000,0.000000) (0.000000,0.000000) (0.000003,0.000000) (0.000000,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (-0.000003,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000) (0.000000,0.000000) (0.000000,0.000000) (0.000003,0.000000) (0.000003,0.000000) (0.000000,0.000000) (-0.000003,0.000000)
sd 4.05001 (-0.000003,0.000000) (0.000000,0.000000) (0.000003,0.000000) (0.000003,0.000000) (0.000000,0.000000) (0.000000,0.000000) (0.000003,0.000000) (-0.000000,0.000000) (-0.000003,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (-0.000003,0.000000) (0.000000,0.000000) (0.000003,0.000000) (0.000000,0.000000) (-0.000000,0.000000) (0.000000,0.000000) (0.353558,0.000000) (-0.353549,0.000000) (-0.353554,0.000000) (0.353552,0.000000) (0.353554,0.000000) (-0.353552,0.000000) (-0.353558,0.000000) (0.353549,0.000000) (-0.000003,0.000000) (-0.000000,0.000000) (0.000003,0.000000)
sd 4.34644 (0.180752,0.000000) (0.255615,0.000000) (0.180752,0.000000) (-0.058756,0.000000) (-0.115546,0.000000) (-0.141846,0.000000) (-0.278948,0.000000) (-0.141846,0.000000) (-0.278948,0.000000) (-0.058756,0.000000) (-0.115546,0.000000) (0.186991,0.000000) (0.264433,0.000000) (0.186991,0.000000) (0.186976,0.000000) (0.264436,0.000000) (0.186976,0.000000) (-0.115544,0.000000) (-0.058749,0.000000) (-0.278953,0.000000) (-0.141834,0.000000) (-0.278953,0.000000) (-0.141834,0.000000) (-0.115544,0.000000) (-0.058749,0.000000) (0.180744,0.000000) (0.255617,0.000000) (0.180744,0.000000)
su 4.34644 (-0.180744,0.000000) (-0.255617,0.000000) (-0.180744,0.000000) (0.058749,0.000000) (0.115544,0.000000) (0.141834,0.000000) (0.278953,0.000000) (0.141834,0.000000) (0.278953,0.000000) (0.058749,0.000000) (0.115544,0.000000) (-0.186976,0.000000) (-0.264436,0.000000) (-0.186976,0.000000) (-0.186991,0.000000) (-0.264433,0.000000) (-0.186991,0.000000) (0.115546,0.000000) (0.058756,0.000000) (0.278948,0.000000) (0.141846,0.000000) (0.278948,0.000000) (0.141846,0.000000) (0.115546,0.000000) (0.058756,0.000000) (-0.180752,0.000000) (-0.255615,0.000000) (-0.180752,0.000000)
su 4.90706 (0.310304,0.000000) (-0.000000,0.000000) (-0.310304,0.000000) (-0.204396,0.000000) (-0.041023,0.000000) (-0.204398,0.000000) (-0.041021,0.000000) (0.204398,0.000000) (0.041021,0.000000) (0.204396,0.000000) (0.041023,0.000000) (0.258440,0.000000) (-0.000000,0.000000) (-0.258440,0.000000) (-0.258436,0.000000) (-0.000000,0.000000) (0.258436,0.000000) (0.041013,0.000000) (0.204403,0.000000) (0.041015,0.000000) (0.204401,0.000000) (-0.041015,0.000000) (-0.204401,0.000000) (-0.041013,0.000000) (-0.204403,0.000000) (-0.310297,0.000000) (0.000000,0.000000) (0.310297,0.000000)
sd 4.90706 (0.310297,0.000000) (0.000000,0.000000) (-0.310297,0.000000) (-0.204403,0.000000) (-0.041013,0.000000) (-0.204401,0.000000) (-0.041015,0.000000) (0.204401,0.000000) (0.041015,0.000000) (0.204403,0.000000) (0.041013,0.000000) (0.258436,0.000000) (0.000000,0.000000) (-0.258436,0.000000) (-0.258440,0.000000) (0.000000,0.000000) (0.258440,0.000000) (0.041023,0.000000) (0.204396,0.000000) (0.041021,0.000000) (0.204398,0.000000) (-0.041021,0.000000) (-0.204398,0.000000) (-0.041023,0.000000) (-0.204396,0.000000) (-0.310304,0.000000) (-0.000000,0.000000) (0.310304,0.000000)
