value0, value1, value2, value3, value4, value5, value6, value7
-3.94316, -2.91281, -1.37668, 0.298494, 4.02151, 5.69668, 7.23281, 8.26316
-3.88359, -2.85794, -1.32628, 0.352658, 3.96734, 5.64628, 7.17794, 8.20359
-3.82317, -2.80242, -1.27551, 0.407271, 3.91273, 5.59551, 7.12242, 8.14317
-3.76194, -2.7463, -1.22443, 0.462279, 3.85772, 5.54443, 7.0663, 8.08194
-3.6999, -2.68961, -1.17309, 0.51762, 3.80238, 5.49309, 7.00961, 8.0199
-3.63707, -2.63236, -1.12154, 0.573228, 3.74677, 5.44154, 6.95236, 7.95707
-3.57348, -2.57461, -1.06985, 0.62903, 3.69097, 5.38985, 6.89461, 7.89348
-3.50915, -2.51637, -1.01808, 0.684946, 3.63506, 5.33808, 6.83637, 7.82915
-3.44409, -2.45769, -0.966292, 0.740886, 3.57912, 5.28629, 6.77769, 7.76409
-3.37833, -2.3986, -0.914564, 0.796752, 3.52325, 5.23456, 6.7186, 7.69833
-3.31189, -2.33914, -0.862974, 0.852432, 3.46757, 5.18297, 6.65914, 7.63189
-3.2448, -2.27936, -0.811606, 0.907804, 3.4122, 5.13161, 6.59936, 7.5648
-3.17707, -2.21929, -0.76055, 0.962728, 3.35727, 5.08055, 6.53929, 7.49707
-3.10873, -2.15898, -0.709903, 1.01705, 3.30295, 5.0299, 6.47898, 7.42873
-3.0398, -2.09848, -0.659772, 1.07059, 3.24941, 4.97977, 6.41848, 7.3598
-2.97031, -2.03784, -0.61027, 1.12315, 3.19686, 4.93027, 6.35784, 7.29031
-2.90028, -1.9771, -0.561519, 1.1745, 3.14551, 4.88152, 6.2971, 7.22028
-2.82974, -1.91633, -0.513654, 1.22438, 3.09562, 4.83365, 6.23633, 7.14974
-2.75872, -1.85558, -0.466818, 1.27252, 3.04748, 4.78682, 6.17558, 7.07872
-2.68725, -1.79492, -0.421167, 1.31858, 3.00142, 4.74117, 6.11492, 7.00725
-2.61535, -1.7344, -0.376871, 1.36222, 2.95779, 4.69687, 6.0544, 6.93535
-2.54305, -1.67411, -0.334111, 1.40303, 2.91697, 4.65411, 5.99411, 6.86305
-2.47039, -1.61411, -0.293086, 1.44063, 2.87938, 4.61309, 5.93411, 6.79039
-2.39739, -1.55448, -0.254007, 1.47457, 2.84543, 4.57401, 5.87448, 6.71739
-2.3241, -1.49531, -0.2171, 1.50447, 2.81553, 4.5371, 5.81531, 6.6441
-2.25054, -1.43668, -0.182608, 1.52997, 2.79003, 4.50261, 5.75668, 6.57054
-2.17676, -1.3787, -0.150786, 1.55078, 2.76922, 4.47078, 5.6987, 6.49676
