value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-5.38078, -4.17205, -4.1088, -2.82859, -2.66546, -2.18532, -1.40926, -1.09314, -0.499099, -0.0932977, 1.08191, 1.43112, 2.26835, 3.31384, 4.52008, 4.89747, 5.38319, 5.84049, 6.66477, 6.78083, 7.71902, 8.29736, 8.79007, 9.28729
-5.38647, -4.1568, -4.11393, -2.81377, -2.66997, -2.20505, -1.39286, -1.10954, -0.499131, -0.0925538, 1.08509, 1.43507, 2.2623, 3.31326, 4.52352, 4.89967, 5.39053, 5.83791, 6.6588, 6.78244, 7.71048, 8.30297, 8.78827, 9.28977
-5.39206, -4.14273, -4.1177, -2.79942, -2.67381, -2.22481, -1.37637, -1.12605, -0.499162, -0.0923848, 1.08817, 1.43941, 2.25633, 3.31224, 4.52732, 4.90193, 5.39773, 5.83538, 6.65137, 6.78557, 7.70183, 8.30857, 8.78645, 9.29222
-5.39752, -4.13448, -4.1155, -2.78581, -2.67671, -2.24457, -1.35981, -1.14269, -0.499194, -0.0927935, 1.09118, 1.44413, 2.25042, 3.31082, 4.53145, 4.90426, 5.40476, 5.83289, 6.6428, 6.78992, 7.69307, 8.31413, 8.7846, 9.29465
-5.40288, -4.13573, -4.10364, -2.77337, -2.67826, -2.26435, -1.34318, -1.15943, -0.499225, -0.0937811, 1.09411, 1.44923, 2.24458, 3.30899, 4.53591, 4.90666, 5.41164, 5.83045, 6.63336, 6.79522, 7.68422, 8.31967, 8.78274, 9.29705
-5.40811, -4.13992, -4.08868, -2.76269, -2.67785, -2.28411, -1.32649, -1.17627, -0.499256, -0.0953473, 1.09699, 1.45468, 2.23879, 3.3068, 4.54065, 4.90914, 5.41836, 5.82805, 6.62328, 6.80126, 7.67527, 8.32517, 8.78086, 9.29943
-5.41323, -4.14468, -4.07299, -2.7545, -2.67478, -2.30385, -1.30975, -1.1932, -0.499288, -0.0974903, 1.09982, 1.46047, 2.23306, 3.30424, 4.54567, 4.91169, 5.42492, 5.82571, 6.61272, 6.80786, 7.66624, 8.33064, 8.77896, 9.30177
-5.41824, -4.14956, -4.05704, -2.74923, -2.66859, -2.32356, -1.29299, -1.21018, -0.499321, -0.100207, 1.1026, 1.46659, 2.22737, 3.30135, 4.55093, 4.91432, 5.43131, 5.82341, 6.60182, 6.81492, 7.65712, 8.33606, 8.77704, 9.30408
-5.42312, -4.15442, -4.04095, -2.74679, -2.65942, -2.34322, -1.27631, -1.22714, -0.499354, -0.103491, 1.10535, 1.47301, 2.22173, 3.29815, 4.55641, 4.91703, 5.43754, 5.82116, 6.59067, 6.82232, 7.64792, 8.34144, 8.77511, 9.30636
-5.42789, -4.15922, -4.02479, -2.74654, -2.64789, -2.36282, -1.26052, -1.24324, -0.499387, -0.107339, 1.10807, 1.47973, 2.21612, 3.29466, 4.56209, 4.91983, 5.4436, 5.81897, 6.57936, 6.83002, 7.63865, 8.34677, 8.77317, 9.3086
-5.43255, -4.16393, -4.00857, -2.74779, -2.63472, -2.38234, -1.26354, -1.24057, -0.499422, -0.111741, 1.11077, 1.48673, 2.21054, 3.2909, 4.56793, 4.92271, 5.4495, 5.81684, 6.56792, 6.83796, 7.6293, 8.35204, 8.77122, 9.31081
-5.43708, -4.16855, -3.9923, -2.74999, -2.62048, -2.40174, -1.28024, -1.22425, -0.499459, -0.116689, 1.11345, 1.49399, 2.20499, 3.28689, 4.57391, 4.92567, 5.45523, 5.81476, 6.55643, 6.8461, 7.61989, 8.35726, 8.76925, 9.31298
-5.4415, -4.17306, -3.97602, -2.75277, -2.60557, -2.42097, -1.29758, -1.20734, -0.499496, -0.122173, 1.11612, 1.50148, 2.19946, 3.28266, 4.58, 4.92873, 5.46078, 5.81274, 6.5449, 6.85441, 7.61042, 8.36242, 8.76728, 9.3151
-5.4458, -4.17746, -3.95972, -2.7559, -2.59032, -2.43996, -1.3151, -1.19027, -0.499536, -0.128183, 1.11877, 1.5092, 2.19394, 3.27822, 4.58618, 4.93187, 5.46617, 5.81077, 6.53338, 6.86286, 7.60089, 8.36751, 8.7653, 9.31719
-5.44998, -4.18175, -3.94341, -2.75924, -2.57504, -2.45851, -1.33273, -1.17314, -0.499577, -0.134705, 1.12141, 1.51713, 2.18844, 3.27361, 4.59242, 4.93511, 5.47138, 5.80887, 6.52188, 6.87144, 7.59131, 8.37253, 8.76332, 9.31923
-5.45404, -4.18592, -3.9271, -2.76268, -2.56027, -2.47617, -1.35045, -1.15596, -0.499621, -0.141728, 1.12404, 1.52524, 2.18295, 3.26884, 4.59869, 4.93843, 5.47642, 5.80703, 6.51045, 6.88013, 7.58168, 8.37748, 8.76133, 9.32123
-5.45799, -4.18998, -3.9108, -2.76617, -2.54752, -2.49149, -1.36824, -1.13873, -0.499668, -0.149238, 1.12665, 1.53353, 2.17747, 3.26394, 4.60498, 4.94184, 5.48128, 5.80525, 6.49909, 6.88892, 7.572, 8.38236, 8.75934, 9.32318
-5.46181, -4.19391, -3.89452, -2.76966, -2.54194, -2.49936, -1.3861, -1.12148, -0.499718, -0.157221, 1.12925, 1.54197, 2.17199, 3.25893, 4.61124, 4.94534, 5.48597, 5.80353, 6.48783, 6.89779, 7.56228, 8.38715, 8.75736, 9.32508
-5.46551, -4.19773, -3.87827, -2.77313, -2.54953, -2.4938, -1.40403, -1.1042, -0.499772, -0.165661, 1.13184, 1.55054, 2.16651, 3.25383, 4.61747, 4.94893, 5.49048, 5.80188, 6.47669, 6.90674, 7.55253, 8.39187, 8.75537, 9.32694
-5.4691, -4.20143, -3.86206, -2.77654, -2.56445, -2.48064, -1.42202, -1.08689, -0.499831, -0.174543, 1.1344, 1.55924, 2.16102, 3.24866, 4.62364, 4.9526, 5.49482, 5.80029, 6.46569, 6.91575, 7.54276, 8.39649, 8.7534, 9.32874
-5.47256, -4.205, -3.84589, -2.77989, -2.58154, -2.46507, -1.44006, -1.06957, -0.499894, -0.183851, 1.13694, 1.56803, 2.15554, 3.24345, 4.62972, 4.95634, 5.49898, 5.79877, 6.45484, 6.92483, 7.53295, 8.40103, 8.75143, 9.3305
-5.47591, -4.20846, -3.82979, -2.78317, -2.5993, -2.44859, -1.45815, -1.05223, -0.499964, -0.193569, 1.13945, 1.5769, 2.15005, 3.23822, 4.6357, 4.96016, 5.50297, 5.79731, 6.44416, 6.93395, 7.52313, 8.40547, 8.74948, 9.3322
-5.47913, -4.21179, -3.81377, -2.78635, -2.61727, -2.43165, -1.4763, -1.03489, -0.50004, -0.20368, 1.14193, 1.58584, 2.14455, 3.23297, 4.64155, 4.96405, 5.50678, 5.79591, 6.43367, 6.94312, 7.51329, 8.40981, 8.74754, 9.33385
-5.48224, -4.215, -3.79783, -2.78945, -2.63525, -2.41443, -1.49449, -1.01754, -0.500126, -0.214167, 1.14437, 1.59482, 2.13906, 3.22775, 4.64726, 4.96799, 5.51041, 5.79458, 6.42338, 6.95232, 7.50345, 8.41405, 8.74562, 9.33545
-5.48522, -4.21809, -3.782, -2.79244, -2.65314, -2.39703, -1.51272, -1.00019, -0.50022, -0.225011, 1.14676, 1.60383, 2.13356, 3.22256, 4.65282, 4.97198, 5.51388, 5.79331, 6.41332, 6.96155, 7.49361, 8.41819, 8.74373, 9.33699
-5.48809, -4.22105, -3.76629, -2.79533, -2.6709, -2.37949, -1.53099, -0.982848, -0.500327, -0.236195, 1.14911, 1.61284, 2.12806, 3.21743, 4.6582, 4.97601, 5.51717, 5.79211, 6.4035, 6.9708, 7.48377, 8.42221, 8.74186, 9.33847
-5.49083, -4.22389, -3.75072, -2.79812, -2.68846, -2.36184, -1.5493, -0.965516, -0.500447, -0.2477, 1.1514, 1.62183, 2.12256, 3.21236, 4.6634, 4.98006, 5.52029, 5.79097, 6.39393, 6.98006, 7.47394, 8.42611, 8.74002, 9.3399
-5.49345, -4.22661, -3.73532, -2.8008, -2.7058, -2.3441, -1.56764, -0.948201, -0.500585, -0.259507, 1.15364, 1.63079, 2.11708, 3.20739, 4.6684, 4.98412, 5.52324, 5.78989, 6.38464, 6.98932, 7.46414, 8.4299, 8.73821, 9.34127
-5.49595, -4.2292, -3.72011, -2.80337, -2.72287, -2.32628, -1.58601, -0.930909, -0.500742, -0.271594, 1.15581, 1.63968, 2.11161, 3.20253, 4.6732, 4.98818, 5.52602, 5.78887, 6.37563, 6.99857, 7.45437, 8.43356, 8.73644, 9.34258
-5.49833, -4.23167, -3.70512, -2.80585, -2.73965, -2.3084, -1.6044, -0.913646, -0.500924, -0.283941, 1.1579, 1.64849, 2.10617, 3.19779, 4.67778, 4.99222, 5.52863, 5.78792, 6.36693, 7.0078, 7.44465, 8.43708, 8.73471, 9.34384
-5.50059, -4.23401, -3.69037, -2.80822, -2.75607, -2.29045, -1.62282, -0.896421, -0.501137, -0.296523, 1.15993, 1.65719, 2.10077, 3.1932, 4.68213, 4.99622, 5.53109, 5.78702, 6.35855, 7.01701, 7.43498, 8.44047, 8.73303, 9.34503
-5.50273, -4.23623, -3.6759, -2.81053, -2.77208, -2.27245, -1.64126, -0.879243, -0.501388, -0.309316, 1.16187, 1.66575, 2.09541, 3.18876, 4.68626, 5.00016, 5.53338, 5.78619, 6.35051, 7.02616, 7.42538, 8.44373, 8.73139, 9.34616
-5.50474, -4.23832, -3.66175, -2.81283, -2.78757, -2.2544, -1.65972, -0.86212, -0.501687, -0.322291, 1.16373, 1.67415, 2.09011, 3.18449, 4.69016, 5.00403, 5.53552, 5.78541, 6.34283, 7.03526, 7.41586, 8.44683, 8.72982, 9.34723
-5.50663, -4.24028, -3.64796, -2.81548, -2.80214, -2.23632, -1.67819, -0.845065, -0.502047, -0.335414, 1.1655, 1.68235, 2.0849, 3.1804, 4.69382, 5.0078, 5.5375, 5.78468, 6.33551, 7.04428, 7.40645, 8.44978, 8.72831, 9.34824
-5.50841, -4.24212, -3.63457, -2.82133, -2.8129, -2.21819, -1.69667, -0.82809, -0.502486, -0.348645, 1.16717, 1.69033, 2.07978, 3.17652, 4.69724, 5.01146, 5.53934, 5.78402, 6.32858, 7.05319, 7.39717, 8.45258, 8.72686, 9.34919
-5.51006, -4.24383, -3.62164, -2.83355, -2.81661, -2.20004, -1.71515, -0.811212, -0.503031, -0.361937, 1.16875, 1.69803, 2.07478, 3.17285, 4.70042, 5.01498, 5.54102, 5.7834, 6.32205, 7.06197, 7.38803, 8.45522, 8.72548, 9.35007
-5.51158, -4.24542, -3.60923, -2.84674, -2.81863, -2.18186, -1.73363, -0.79445, -0.503715, -0.375227, 1.17022, 1.70544, 2.06994, 3.1694, 4.70336, 5.01834, 5.54256, 5.78284, 6.31594, 7.0706, 7.37909, 8.45768, 8.72418, 9.35089
-5.51299, -4.24688, -3.5974, -2.85952, -2.82025, -2.16366, -1.7521, -0.777828, -0.504589, -0.388434, 1.17159, 1.71251, 2.06526, 3.16618, 4.70606, 5.02152, 5.54396, 5.78233, 6.31026, 7.07903, 7.37036, 8.45998, 8.72296, 9.35165
-5.51427, -4.24821, -3.58621, -2.87164, -2.82167, -2.14546, -1.77056, -0.761377, -0.505727, -0.401447, 1.17285, 1.71919, 2.0608, 3.16321, 4.70852, 5.02451, 5.54523, 5.78187, 6.30502, 7.08721, 7.36191, 8.46209, 8.72182, 9.35234
