value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-7.67868, -6.34252, -5.89583, -4.94083, -4.90699, -4.40781, -3.73378, -3.00818, -2.7, -2.43709, -0.960838, -0.567863, 8.82634e-16, 0.985245, 2.62219, 2.7, 3.37121, 3.63251, 4.21246, 4.82884, 5.2353, 6.26315, 6.5812, 7.14829
-7.6808, -6.34471, -5.88228, -4.94398, -4.92145, -4.3901, -3.75176, -2.9906, -2.7, -2.44952, -0.958362, -0.565894, -3.48567e-16, 0.980575, 2.62984, 2.7, 3.3734, 3.6319, 4.20468, 4.8391, 5.22447, 6.26605, 6.57999, 7.14946
-7.68279, -6.34678, -5.86909, -4.9485, -4.93397, -4.37239, -3.76972, -2.97305, -2.7, -2.46229, -0.956023, -0.563918, -2.92321e-15, 0.976072, 2.63721, 2.7, 3.37543, 3.63133, 4.19725, 4.84936, 5.21365, 6.26882, 6.57881, 7.15057
-7.68466, -6.34873, -5.85628, -4.95705, -4.94184, -4.35471, -3.78766, -2.95553, -2.7, -2.47536, -0.953821, -0.561954, -8.35036e-17, 0.971753, 2.64428, 2.7, 3.3773, 3.6308, 4.1902, 4.85964, 5.20286, 6.27144, 6.57769, 7.15162
-7.68642, -6.35055, -5.8439, -4.96894, -4.9457, -4.33705, -3.80555, -2.93804, -2.7, -2.48872, -0.951756, -0.560021, -4.63861e-15, 0.967632, 2.65101, 2.7, 3.37903, 3.6303, 4.18354, 4.8699, 5.19211, 6.27391, 6.57663, 7.15259
-7.68805, -6.35224, -5.83201, -4.98148, -4.94822, -4.31943, -3.82338, -2.92059, -2.7, -2.50237, -0.949831, -0.558137, 2.59075e-15, 0.963727, 2.6574, 2.7, 3.38061, 3.62983, 4.17727, 4.88015, 5.1814, 6.27623, 6.57562, 7.15351
-7.68956, -6.35381, -5.82064, -4.99375, -4.95022, -4.30188, -3.84114, -2.90319, -2.7, -2.51628, -0.948045, -0.55632, 1.94656e-15, 0.960049, 2.66341, 2.7, 3.38205, 3.62939, 4.17142, 4.89036, 5.17076, 6.27839, 6.57467, 7.15436
-7.69095, -6.35526, -5.80987, -5.00549, -4.95195, -4.28442, -3.85879, -2.88584, -2.7, -2.53046, -0.946399, -0.554584, 2.06799e-15, 0.956614, 2.66902, 2.7, 3.38335, 3.62899, 4.16599, 4.90053, 5.16021, 6.28039, 6.57378, 7.15514
-7.69222, -6.35658, -5.79973, -5.01656, -4.95347, -4.26707, -3.87631, -2.86854, -2.7, -2.54487, -0.944894, -0.552946, -2.99946e-15, 0.953434, 2.67422, 2.7, 3.38451, 3.62863, 4.16098, 4.91061, 5.14977, 6.28223, 6.57296, 7.15585
-7.69337, -6.35777, -5.79029, -5.02687, -4.95482, -4.2499, -3.89365, -2.85131, -2.7, -2.55952, -0.943531, -0.55142, -8.3502e-16, 0.95052, 2.67899, 2.7, 3.38555, 3.6283, 4.15643, 4.92059, 5.13947, 6.28391, 6.57221, 7.1565
