value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-5.31448, -4.20356, -4.13544, -3.09078, -2.60202, -1.54148, -1.53408, -0.999566, -0.92037, -0.0269551, 0.121832, 1.5576, 2.7624, 4.19817, 4.34695, 5.24037, 5.31957, 5.85408, 5.86148, 6.92202, 7.41078, 8.45544, 8.52356, 9.63448
-5.32258, -4.2113, -4.11666, -3.07335, -2.60952, -1.5587, -1.52525, -1.00741, -0.93594, -0.0256191, 0.1392, 1.56101, 2.75899, 4.1808, 4.34562, 5.25594, 5.32741, 5.84525, 5.8787, 6.92952, 7.39335, 8.43666, 8.5313, 9.64258
-5.33053, -4.2189, -4.09778, -3.05583, -2.61688, -1.58333, -1.50896, -1.01511, -0.951722, -0.0248263, 0.156639, 1.56431, 2.7557, 4.16336, 4.34483, 5.27172, 5.33511, 5.82896, 5.90333, 6.93688, 7.37583, 8.41778, 8.5389, 9.65053
-5.33835, -4.22638, -4.0788, -3.03822, -2.62412, -1.60799, -1.49261, -1.02269, -0.967707, -0.0245726, 0.174146, 1.56747, 2.75253, 4.14585, 4.34457, 5.28771, 5.34269, 5.81261, 5.92799, 6.94412, 7.35822, 8.3988, 8.54638, 9.65835
-5.34603, -4.23372, -4.05972, -3.02054, -2.63123, -1.63267, -1.47621, -1.03013, -0.983891, -0.0248536, 0.191721, 1.57048, 2.74953, 4.12828, 4.34485, 5.30389, 5.35013, 5.79621, 5.95267, 6.95123, 7.34054, 8.37972, 8.55372, 9.66603
-5.35357, -4.24093, -4.04054, -3.00278, -2.63822, -1.65737, -1.45975, -1.03743, -1.00027, -0.025664, 0.209362, 1.5733, 2.7467, 4.11064, 4.34566, 5.32027, 5.35743, 5.77975, 5.97737, 6.95822, 7.32278, 8.36054, 8.56093, 9.67357
-5.36097, -4.248, -4.02126, -2.98494, -2.64508, -1.68209, -1.44324, -1.04461, -1.01683, -0.026998, 0.227067, 1.57593, 2.74407, 4.09293, 4.347, 5.33683, 5.36461, 5.76324, 6.00209, 6.96508, 7.30494, 8.34126, 8.568, 9.68097
-5.36822, -4.25494, -4.00188, -2.96702, -2.6518, -1.70682, -1.42667, -1.05164, -1.03357, -0.0288491, 0.244835, 1.57833, 2.74167, 4.07517, 4.34885, 5.35357, 5.37164, 5.74667, 6.02682, 6.9718, 7.28702, 8.32188, 8.57494, 9.68822
-5.37534, -4.26175, -3.9824, -2.94903, -2.65841, -1.73156, -1.41005, -1.05855, -1.05049, -0.0312103, 0.262664, 1.58048, 2.73952, 4.05734, 4.35121, 5.37049, 5.37855, 5.73005, 6.05156, 6.97841, 7.26903, 8.3024, 8.58175, 9.69534
-5.38232, -4.26843, -3.96283, -2.93096, -2.66488, -1.75631, -1.39339, -1.06757, -1.06531, -0.0340742, 0.280552, 1.58235, 2.73765, 4.03945, 4.35407, 5.38531, 5.38757, 5.71339, 6.07631, 6.98488, 7.25096, 8.28283, 8.58843, 9.70232
