value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-7.59358, -6.46841, -5.91192, -4.88544, -4.86236, -4.15579, -3.38836, -3.3529, -3.28753, -2.21477, -1.67937, -0.282192, 0.282192, 1.67937, 2.21477, 3.28753, 3.3529, 3.38836, 4.15579, 4.86236, 4.88544, 5.91192, 6.46841, 7.59358
-7.599, -6.4736, -5.89134, -4.86743, -4.8666, -4.18048, -3.40682, -3.33564, -3.29282, -2.22212, -1.66039, -0.29578, 0.29578, 1.66039, 2.22212, 3.29282, 3.33564, 3.40682, 4.18048, 4.8666, 4.86743, 5.89134, 6.4736, 7.599
-7.60427, -6.47867, -5.87067, -4.87236, -4.84769, -4.20516, -3.42539, -3.31836, -3.29797, -2.22989, -1.64135, -0.309655, 0.309655, 1.64135, 2.22989, 3.29797, 3.31836, 3.42539, 4.20516, 4.84769, 4.87236, 5.87067, 6.47867, 7.60427
-7.60941, -6.48359, -5.84992, -4.87716, -4.82872, -4.22983, -3.44407, -3.30298, -3.30105, -2.23806, -1.62225, -0.32381, 0.32381, 1.62225, 2.23806, 3.30105, 3.30298, 3.44407, 4.22983, 4.82872, 4.87716, 5.84992, 6.48359, 7.60941
-7.6144, -6.48838, -5.82908, -4.88183, -4.80969, -4.25448, -3.46286, -3.30785, -3.28372, -2.24661, -1.60311, -0.338237, 0.338237, 1.60311, 2.24661, 3.28372, 3.30785, 3.46286, 4.25448, 4.80969, 4.88183, 5.82908, 6.48838, 7.6144
-7.61925, -6.49303, -5.80815, -4.88637, -4.7906, -4.27912, -3.48174, -3.31259, -3.26637, -2.25555, -1.58392, -0.352929, 0.352929, 1.58392, 2.25555, 3.26637, 3.31259, 3.48174, 4.27912, 4.7906, 4.88637, 5.80815, 6.49303, 7.61925
-7.62395, -6.49754, -5.78714, -4.89077, -4.77145, -4.30374, -3.50071, -3.31718, -3.249, -2.26485, -1.56468, -0.367878, 0.367878, 1.56468, 2.26485, 3.249, 3.31718, 3.50071, 4.30374, 4.77145, 4.89077, 5.78714, 6.49754, 7.62395
-7.62851, -6.50192, -5.76604, -4.89504, -4.75225, -4.32834, -3.51978, -3.32163, -3.23161, -2.27451, -1.54539, -0.383076, 0.383076, 1.54539, 2.27451, 3.23161, 3.32163, 3.51978, 4.32834, 4.75225, 4.89504, 5.76604, 6.50192, 7.62851
-7.63293, -6.50616, -5.74486, -4.89918, -4.73299, -4.35292, -3.53893, -3.32595, -3.2142, -2.28452, -1.52607, -0.398515, 0.398515, 1.52607, 2.28452, 3.2142, 3.32595, 3.53893, 4.35292, 4.73299, 4.89918, 5.74486, 6.50616, 7.63293
-7.63721, -6.51026, -5.72359, -4.90318, -4.71368, -4.37748, -3.55816, -3.33012, -3.19679, -2.29486, -1.5067, -0.414187, 0.414187, 1.5067, 2.29486, 3.19679, 3.33012, 3.55816, 4.37748, 4.71368, 4.90318, 5.72359, 6.51026, 7.63721
-7.64134, -6.51423, -5.70224, -4.90705, -4.69432, -4.40202, -3.57747, -3.33416, -3.17936, -2.30554, -1.48729, -0.430085, 0.430085, 1.48729, 2.30554, 3.17936, 3.33416, 3.57747, 4.40202, 4.69432, 4.90705, 5.70224, 6.51423, 7.64134
-7.64532, -6.51805, -5.68081, -4.91078, -4.6749, -4.42653, -3.59686, -3.33805, -3.16193, -2.31653, -1.46785, -0.4462, 0.4462, 1.46785, 2.31653, 3.16193, 3.33805, 3.59686, 4.42653, 4.6749, 4.91078, 5.68081, 6.51805, 7.64532
-7.64917, -6.52174, -5.6593, -4.91438, -4.65543, -4.45101, -3.61631, -3.34181, -3.1445, -2.32782, -1.44837, -0.462525, 0.462525, 1.44837, 2.32782, 3.1445, 3.34181, 3.61631, 4.45101, 4.65543, 4.91438, 5.6593, 6.52174, 7.64917
-7.65287, -6.52529, -5.63771, -4.91785, -4.63592, -4.47547, -3.63584, -3.34542, -3.12706, -2.33942, -1.42886, -0.479052, 0.479052, 1.42886, 2.33942, 3.12706, 3.34542, 3.63584, 4.47547, 4.63592, 4.91785, 5.63771, 6.52529, 7.65287
-7.65642, -6.5287, -5.61604, -4.92118, -4.61635, -4.4999, -3.65543, -3.34889, -3.10962, -2.3513, -1.40931, -0.495773, 0.495773, 1.40931, 2.3513, 3.10962, 3.34889, 3.65543, 4.4999, 4.61635, 4.92118, 5.61604, 6.5287, 7.65642
